TargetName	FLT_TX_2 | 003 | Full ROI	FLT_TX_2 | 007 | Full ROI	FLT_TX_2 | 011 | Full ROI	GC_SAL_2 | 001 | Full ROI	GC_SAL_2 | 005 | Full ROI	GC_SAL_2 | 009 | Full ROI	GC_TX_2 | 003 | Full ROI	GC_TX_2 | 007 | Full ROI	GC_TX_2 | 011 | Full ROI	FLT_SAL_2 | 003 | Full ROI	FLT_SAL_2 | 007 | Full ROI	FLT_SAL_2 | 011 | Full ROI
Snapc4	20.0115598	21.34566378	23.76372726	18.95831981	34.52975024	23.54301153	25.96094244	26.68207973	26.37887428	24.01387176	25.01444975	29.68006622
Fam228a	34.30553108	24.01387176	22.51300477	25.27775974	21.97347742	36.49166787	18.38900089	27.42324861	24.55964157	34.30553108	25.01444975	32.82795203
Mtnr1a	17.15276554	20.45626113	16.25939234	18.95831981	25.11254563	24.7201621	29.20606024	15.56454651	20.92117615	26.30090716	18.58216267	18.88731486
Yae1d1	42.88191385	41.80192491	26.26517223	25.27775974	36.88405139	49.4403242	46.5133552	37.05844407	33.65580511	35.44904878	43.59661242	34.17704595
Olfr905	22.87035405	22.23506644	18.76083731	29.4907197	14.91057397	23.54301153	12.98047122	11.8587021	20.0115598	19.43980095	18.58216267	19.33701284
Kirrel3	17.15276554	24.01387176	23.76372726	17.90507982	16.48010807	21.18871037	22.71582463	25.94091085	25.46925792	28.58794257	22.15565549	27.43157635
Ank1	57.17588513	44.47013288	28.76661721	34.75691965	43.94695485	38.84596902	46.5133552	31.8702619	39.11350324	34.30553108	41.45251672	36.42553581
Dclre1b	27.15854544	24.01387176	27.51589472	29.4907197	39.23835254	22.36586095	29.20606024	26.68207973	20.92117615	29.15970142	20.72625836	18.43761689
Prr12	77.18744493	73.82042059	67.53901432	68.46059931	65.13566522	63.56613112	74.63770951	69.66987485	43.66158501	78.90272149	81.47563632	73.75046757
Gatad2a	25.72914831	31.12909302	30.0173397	13.69211986	21.18871037	27.07446326	14.06217715	32.61143078	26.37887428	30.87497797	30.0173397	27.43157635
Cyfip1	41.45251672	32.01849568	28.76661721	31.59719968	22.75824448	27.07446326	27.04264837	22.23506644	32.74618876	33.73377223	33.59083252	31.47885811
Plbd2	35.73492821	48.91714617	46.27673203	35.81015964	36.09928434	28.25161383	46.5133552	28.90558637	39.11350324	34.30553108	42.16721529	38.2243277
Adamts18	20.0115598	19.56685847	13.75794736	9.479159904	19.61917627	23.54301153	20.55241276	21.49389756	16.37309438	27.44442486	18.58216267	17.08852297
Olfr1306	17.15276554	16.00924784	22.51300477	29.4907197	17.26487512	28.25161383	15.14388309	20.0115598	17.28271073	28.01618372	27.15854544	15.73942905
Prkag1	32.87613395	25.79267707	17.51011482	21.06479979	30.60591498	25.89731268	34.61458992	20.0115598	32.74618876	38.30784304	35.02022965	31.47885811
Ank	92.91081334	125.4057747	90.05201909	97.95131901	98.09588136	101.2349496	81.12794512	103.0224745	99.14818263	90.33789851	108.6341818	93.98687635
Eif4ebp3	30.0173397	25.79267707	23.76372726	28.43747971	21.18871037	30.60591498	25.96094244	19.27039092	34.56542147	25.15738946	33.59083252	24.73338851
Esp5	10.0057799	18.67745581	25.01444975	15.79859984	16.48010807	16.48010807	17.30729496	17.04688427	20.0115598	22.2985952	20.72625836	16.18912703
Atp5g1	141.5103157	122.7375668	136.3287511	134.8147186	123.208427	133.0180151	134.1315359	131.186892	142.8097676	142.9397128	135.7927272	125.4657345
Dync2li1	40.02311959	28.46088504	25.01444975	21.06479979	25.11254563	23.54301153	23.79753057	23.7174042	23.65002521	27.44442486	18.58216267	24.73338851
Edem2	18.58216267	30.23969036	21.26228228	31.59719968	47.8707901	36.49166787	24.8792365	36.31727519	35.47503782	32.01849568	27.15854544	38.67402568
Tent2	42.88191385	41.80192491	56.28251193	50.55551949	40.80788665	42.37742075	50.84017894	48.17597729	43.66158501	44.02543155	39.30842103	44.07040135
Mettl7a1	50.02889949	36.46550896	35.02022965	38.96987961	58.07276176	31.78306556	42.18653146	41.50545736	34.56542147	47.45598466	42.88191385	38.2243277
Mill2	11.43517703	19.56685847	13.75794736	20.0115598	23.54301153	12.94865634	18.38900089	15.56454651	30.0173397	22.87035405	23.58505262	21.5855027
